"","stateyear","predicted","hbfunds"
"1","alabama_1947","  517631.81",1036300
"2","alabama_1948"," 5186674.79",8793803
"3","alabama_1949"," 4340956.24",3531865
"4","alabama_1950"," 5645776.98",1892272
"5","alabama_1951"," 2491363.15",1864376
"6","alabama_1952"," 3060228.64",2985206
"7","alabama_1953"," 1853131.29",2136402
"8","alabama_1954"," 1529368.21",2843550
"9","alabama_1955"," 2328706.42",2869285
"10","alabama_1956"," 4883431.22",5136650
"11","alabama_1957"," 4588584.08",3278630
"12","alabama_1958"," 5859846.06",4413377
"13","alabama_1959"," 4906752.10",3109905
"14","alabama_1960"," 5551656.91",6647866
"15","alabama_1961"," 5238846.40",5016856
"16","alabama_1962"," 6311180.51",7627804
"17","alabama_1963"," 6365449.93",4632248
"18","alabama_1964"," 5848427.49",5074181
"19","arizona_1948","  732962.25",177112
"20","arizona_1949","  620739.74",2455404
"21","arizona_1951","  365864.58",22863
"22","arizona_1952","  476170.48",834371
"23","arizona_1953","  297977.03",160300
"24","arizona_1954","  256700.90",51369
"25","arizona_1955","  405549.70",865701
"26","arizona_1956","  919855.91",1060036
"27","arizona_1957","  966706.13",1170347
"28","arizona_1958"," 1331103.01",1380000
"29","arizona_1959"," 1220876.11",1430416
"30","arizona_1960"," 1458831.32",1197072
"31","arizona_1961"," 1481612.54",742597
"32","arizona_1962"," 1857304.31",2131448
"33","arizona_1963"," 1884602.90",1905049
"34","arizona_1964"," 1754354.59",1584619
"35","arkansas_1948"," 3331409.66",2937815
"36","arkansas_1949"," 2797672.51",2003319
"37","arkansas_1950"," 3619722.26",9098910
"38","arkansas_1951"," 1600152.69",2764157
"39","arkansas_1953"," 1145721.82",332000
"40","arkansas_1955"," 1426970.49",1116536
"41","arkansas_1956"," 2908695.79",3004322
"42","arkansas_1957"," 2756284.51",3648179
"43","arkansas_1958"," 3468167.52",1951203
"44","arkansas_1959"," 2999540.59",1962478
"45","arkansas_1960"," 3418208.19",4350455
"46","arkansas_1961"," 3185315.00",5791453
"47","arkansas_1962"," 3885275.51",2645898
"48","arkansas_1963"," 3833786.38",2959266
"49","arkansas_1964"," 3500401.35",1374541
"50","california_1948"," 4269743.21",3271217
"51","california_1949"," 3591853.01",1071750
"52","california_1950"," 4657067.41",7477470
"53","california_1951"," 2218565.31",1314550
"54","california_1952"," 2917802.00",3036441
"55","california_1953"," 1848428.01",2589108
"56","california_1954"," 1628060.59",3548620
"57","california_1955"," 2572950.20",1203584
"58","california_1956"," 5609813.99",7899642
"59","california_1957"," 5499201.47",6204683
"60","california_1958"," 7242193.14",8579126
"61","california_1959"," 6352860.85",9531502
"62","california_1960"," 7507516.95",6106400
"63","california_1961"," 7321281.56",1397843
"64","california_1962"," 9038991.62",10638315
"65","california_1963"," 9141909.53",13574701
"66","california_1964"," 8676692.45",10753979
"67","colorado_1948"," 1215820.59",1414248
"68","colorado_1949","  938241.87",1008392
"69","colorado_1950"," 1176614.64",270757
